station_id,station_name,line_name
S001,,L01
S002,,L01
S003,,L01
S004,,L01
S005,,L01
S006,,L01
S007,,L01
S008,,L01
S009,,L01
S010,,L01
S011,,L01
S012,,L01
S013,,L01
S014,,L01
S015,,L01
S016,,L01
S017,,L01
S018,,L01
S019,,L01
S020,,L01
S021,,L01
S022,,L01
S023,,L01
S024,,L02
S025,,L02
S026,,L02
S027,,L02
S028,,L02
S029,,L02
S030,,L02
S031,,L02
S032,,L02
S033,,L02
S034,,L02
S035,,L02
S036,,L02
S037,,L02
S038,,L02
S039,,L02
S040,,L02
S041,,L02
S042,,L02
S043,,L02
S044,,L02
S045,,L02
S046,,L02
S047,,L03
S048,,L03
S049,,L03
S050,,L03
S051,,L03
S052,,L03
S053,,L03
S054,,L03
S055,,L03
S056,,L03
S057,,L03
S058,,L03
S059,,L03
S060,,L03
S061,,L03
S062,,L03
S063,,L03
S064,,L03
S065,,L03
S066,,L03
S067,,L03
S068,,L03
S069,,L03
S070,,L04
S071,,L04
S072,,L04
S073,,L04
S074,,L04
S075,,L04
S076,,L04
S077,,L04
S078,,L04
S079,,L04
S080,,L04
S081,,L04
S082,,L04
S083,,L04
S084,,L04
S085,,L04
S086,,L04
S087,,L04
S088,,L04
S089,,L04
S090,,L04
S091,,L04
S092,,L04
S093,,L05
S094,,L05
S095,,L05
S096,,L05
S097,,L05
S098,,L05
S099,,L05
S100,,L05
S101,,L05
S102,,L05
S103,,L05
S104,,L05
S105,,L05
S106,,L05
S107,,L05
S108,,L05
S109,,L05
S110,,L05
S111,,L05
S112,,L05
S113,,L05
S114,,L05
S115,,L05
S116,,L06
S117,,L06
S118,,L06
S119,,L06
S120,,L06
S121,,L06
S122,,L06
S123,,L06
S124,,L06
S125,,L06
S126,,L06
S127,,L06
S128,,L06
S129,,L06
S130,,L06
S131,,L06
S132,,L06
S133,,L06
S134,,L06
S135,,L06
S136,,L06
S137,,L06
S138,,L06
S139,,L07
S140,,L07
S141,,L07
S142,,L07
S143,,L07
S144,,L07
S145,,L07
S146,,L07
S147,,L07
S148,,L07
S149,,L07
S150,,L07
S151,,L07
S152,,L07
S153,,L07
S154,,L07
S155,,L07
S156,,L07
S157,,L07
S158,,L07
S159,,L07
S160,,L07
S161,,L07
S162,,L08
S163,,L08
S164,,L08
S165,,L08
S166,,L08
S167,,L08
S168,,L08
S169,,L08
S170,,L08
S171,,L08
S172,,L08
S173,,L08
S174,,L08
S175,,L08
S176,,L08
S177,,L08
S178,,L08
S179,,L08
S180,,L08
S181,,L08
S182,,L08
S183,,L08
S184,,L08
S185,,L09
S186,,L09
S187,,L09
S188,,L09
S189,,L09
S190,,L09
S191,,L09
S192,,L09
S193,,L09
S194,,L09
S195,,L09
S196,,L09
S197,,L09
S198,,L09
S199,,L09
S200,,L09
S201,,L09
S202,,L09
S203,,L09
S204,,L09
S205,,L09
S206,,L09
S207,,L09
S208,,L10
S209,,L10
S210,,L10
S211,,L10
S212,,L10
S213,,L10
S214,,L10
S215,,L10
S216,,L10
S217,,L10
S218,,L10
S219,,L10
S220,,L10
S221,,L10
S222,,L10
S223,,L10
S224,,L10
S225,,L10
S226,,L10
S227,,L10
S228,,L10
S229,,L10
S230,,L10
S231,,L11
S232,,L11
S233,,L11
S234,,L11
S235,,L11
S236,,L11
S237,,L11
S238,,L11
S239,,L11
S240,,L11
S241,,L11
S242,,L11
S243,,L11
S244,,L11
S245,,L11
S246,,L11
S247,,L11
S248,,L11
S249,,L11
S250,,L11
S251,,L11
S252,,L11
S253,,L11
S254,,L12
S255,,L12
S256,,L12
S257,,L12
S258,,L12
S259,,L12
S260,,L12
S261,,L12
S262,,L12
S263,,L12
S264,,L12
S265,,L12
S266,,L12
S267,,L12
S268,,L12
S269,,L12
S270,,L12
S271,,L12
S272,,L12
S273,,L12
S274,,L12
S275,,L12
S276,,L12
